Size, Seed, Level, Seq, Par, Libc
1000000, 44053124, 10, 0.227883, 0.091193, 0.231900
100000, 64442335, 10, 0.018574, 0.068427, 0.020091
1000, 73115446, 8, 0.000182, 0.004834, 0.000139
10000, 32028766, 2, 0.001451, 0.000957, 0.001488
1000, 94369625, 2, 0.000125, 0.000279, 0.000131
10000, 61049880, 10, 0.001522, 0.034836, 0.001508
100000, 32021699, 6, 0.022637, 0.006356, 0.026199
100, 6929674, 4, 0.000010, 0.000526, 0.000011
10000, 67599709, 6, 0.001556, 0.002339, 0.001444
1000, 89291841, 4, 0.000105, 0.000545, 0.000121
1000000, 65008076, 4, 0.218504, 0.088123, 0.231046
100000, 35190196, 4, 0.020644, 0.006904, 0.018242
10000, 32028766, 8, 0.001473, 0.010127, 0.001556
1000, 51378306, 10, 0.000113, 0.017462, 0.000130
100, 12942730, 4, 0.000009, 0.000329, 0.000037
1000, 2024320, 4, 0.000116, 0.000581, 0.000144
100000, 97113040, 10, 0.018255, 0.064867, 0.019353
1000000, 48631631, 2, 0.222218, 0.071459, 0.235314
100000, 9347130, 4, 0.018081, 0.010276, 0.020222
1000, 35598095, 8, 0.000111, 0.005824, 0.000140
100000, 81685261, 8, 0.017930, 0.013148, 0.021417
100000, 67666059, 4, 0.017573, 0.010328, 0.018428
1000, 45092803, 8, 0.000125, 0.005625, 0.000124
1000000, 48631631, 10, 0.226539, 0.080929, 0.217587
1000, 79340271, 8, 0.000141, 0.008091, 0.000130
1000000, 42044899, 6, 0.221870, 0.071717, 0.225768
1000, 84764184, 2, 0.000118, 0.000214, 0.000122
10000, 78580659, 10, 0.001468, 0.324313, 0.001438
100, 13282884, 2, 0.000009, 0.000196, 0.000020
100, 13282884, 4, 0.000008, 0.000322, 0.000011
10000, 78580659, 8, 0.001825, 0.040148, 0.001569
10000, 93358900, 4, 0.001417, 0.000989, 0.001359
1000, 81967033, 10, 0.000106, 0.018689, 0.000126
1000, 52739488, 2, 0.000121, 0.000232, 0.000122
1000000, 47278110, 6, 0.232608, 0.089243, 0.219849
100, 83822700, 4, 0.000009, 0.000291, 0.000012
1000000, 34438526, 10, 0.216614, 0.081839, 0.236206
1000, 4572966, 4, 0.000110, 0.000560, 0.000114
1000, 52739488, 6, 0.000107, 0.002419, 0.000136
10000, 58462683, 8, 0.001405, 0.009010, 0.001513
1000, 98402345, 8, 0.000118, 0.006216, 0.000124
100000, 32021699, 2, 0.017413, 0.012463, 0.018194
10000, 44870870, 8, 0.001359, 0.010089, 0.001419
1000, 83739628, 8, 0.000213, 0.007416, 0.000122
100, 39449314, 10, 0.000009, 0.003636, 0.000020
10000, 78580659, 4, 0.001408, 0.001332, 0.001472
1000, 94369625, 4, 0.000106, 0.000574, 0.000133
10000, 56490710, 10, 0.001428, 0.047042, 0.001484
100, 25209990, 6, 0.000009, 0.001465, 0.000013
100, 99834277, 10, 0.000008, 0.003395, 0.000012
1000, 89291841, 2, 0.000106, 0.000232, 0.000166
100, 19520387, 6, 0.000009, 0.001377, 0.000012
100, 45256470, 8, 0.000008, 0.002463, 0.000023
1000000, 23236069, 2, 0.218400, 0.086776, 0.224168
10000, 26075799, 4, 0.001427, 0.001117, 0.001622
10000, 75243821, 6, 0.001541, 0.002369, 0.001432
1000, 81967033, 4, 0.000106, 0.000571, 0.000123
100, 4936171, 8, 0.000009, 0.002685, 0.000012
1000, 83739628, 2, 0.000106, 0.000225, 0.000123
100000, 94114917, 10, 0.017526, 0.044700, 0.019928
1000, 89291841, 8, 0.000174, 0.006625, 0.000123
10000, 26075799, 6, 0.001525, 0.002348, 0.001465
10000, 45525493, 6, 0.001418, 0.002292, 0.001521
1000000, 48631631, 4, 0.218333, 0.099642, 0.222439
100000, 15582592, 4, 0.017502, 0.006806, 0.018342
10000, 93358900, 8, 0.001718, 0.009801, 0.001372
1000, 10849390, 8, 0.000108, 0.007938, 0.000130
100000, 97113040, 8, 0.017967, 0.012136, 0.018095
1000000, 41329531, 6, 0.214256, 0.058636, 0.224478
100, 40807401, 10, 0.000008, 0.002313, 0.000022
1000, 45399470, 6, 0.000119, 0.001786, 0.000122
100, 39449314, 2, 0.000008, 0.000233, 0.000022
10000, 81587587, 2, 0.001355, 0.001051, 0.001439
1000000, 48631631, 8, 0.220020, 0.063900, 0.230436
1000000, 65008076, 2, 0.206917, 0.143742, 0.223616
100, 45256470, 6, 0.000009, 0.001659, 0.000034
1000, 4572966, 6, 0.000111, 0.002235, 0.000129
1000000, 23236069, 4, 0.217447, 0.107033, 0.218450
10000, 56671239, 8, 0.001407, 0.009921, 0.001503
1000000, 77168267, 2, 0.227077, 0.104769, 0.232112
10000, 56671239, 4, 0.002191, 0.001274, 0.001515
10000, 58462683, 6, 0.001487, 0.002503, 0.001573
100, 17419196, 6, 0.000009, 0.001491, 0.000025
1000000, 42859845, 6, 0.231951, 0.060551, 0.240545
100000, 67666059, 8, 0.018467, 0.013910, 0.018986
1000, 40763310, 4, 0.000111, 0.000575, 0.000126
10000, 32890574, 8, 0.001450, 0.012341, 0.002100
100, 98400667, 2, 0.000008, 0.000177, 0.000020
100000, 67428494, 10, 0.019063, 0.081956, 0.019407
1000, 45092803, 2, 0.000105, 0.000234, 0.000173
10000, 26075799, 2, 0.001517, 0.001042, 0.001533
100, 36421778, 6, 0.000010, 0.001488, 0.000012
1000, 68787479, 6, 0.000118, 0.002039, 0.000116
1000000, 70362538, 10, 0.218234, 0.109977, 0.232888
10000, 26075799, 10, 0.001444, 0.040802, 0.001595
1000, 23260517, 6, 0.000116, 0.001776, 0.000122
100000, 32021699, 10, 0.018420, 0.102654, 0.024194
10000, 58462683, 4, 0.001785, 0.001546, 0.001884
10000, 93358900, 10, 0.001631, 0.051794, 0.001611
100, 99834277, 6, 0.000008, 0.001125, 0.000013
10000, 67599709, 4, 0.001551, 0.001067, 0.001569
1000, 68787479, 8, 0.000118, 0.005955, 0.000116
1000000, 34438526, 8, 0.233936, 0.059608, 0.244669
100000, 67666059, 2, 0.018544, 0.011181, 0.020470
1000, 4572966, 2, 0.000124, 0.000287, 0.000120
1000, 45092803, 4, 0.000119, 0.000625, 0.000120
100, 12942730, 2, 0.000009, 0.000187, 0.000012
1000, 98402345, 2, 0.000119, 0.000273, 0.000116
100000, 20262078, 4, 0.018401, 0.006496, 0.018900
100, 7144938, 6, 0.000010, 0.001539, 0.000011
1000000, 66034221, 4, 0.227156, 0.089587, 0.235926
100, 98400667, 8, 0.000009, 0.002397, 0.000051
10000, 5990575, 2, 0.001496, 0.000890, 0.001501
1000000, 77168267, 6, 0.227481, 0.064759, 0.226457
1000, 94369625, 8, 0.000106, 0.007516, 0.000139
10000, 58462683, 2, 0.001367, 0.000920, 0.001468
100000, 42161965, 10, 0.017926, 0.061780, 0.018535
100, 7144938, 2, 0.000009, 0.000174, 0.000011
1000, 89291841, 10, 0.000121, 0.013608, 0.000122
1000000, 41329531, 2, 0.210195, 0.179105, 0.224234
1000000, 57631957, 6, 0.206638, 0.061012, 0.218526
1000, 73115446, 10, 0.000108, 0.009862, 0.000176
100000, 42161965, 8, 0.017357, 0.012125, 0.019214
1000, 35598095, 10, 0.000129, 0.008042, 0.000124
100, 83822700, 2, 0.000009, 0.000166, 0.000012
100, 6929674, 6, 0.000008, 0.001570, 0.000011
1000, 51378306, 4, 0.000121, 0.000526, 0.000121
100, 25209990, 8, 0.000009, 0.002018, 0.000011
10000, 39861004, 4, 0.001429, 0.000917, 0.001431
100000, 30211849, 4, 0.018750, 0.007699, 0.018346
100, 36421778, 8, 0.000008, 0.002615, 0.000012
1000, 94369625, 10, 0.000109, 0.007427, 0.000123
100000, 19067372, 4, 0.017916, 0.010098, 0.018073
10000, 44870870, 10, 0.001484, 0.034998, 0.001447
100, 25209990, 4, 0.000008, 0.000652, 0.000021
100, 35975500, 10, 0.000008, 0.003721, 0.000012
10000, 30443004, 10, 0.001602, 0.037161, 0.001453
100000, 66797791, 2, 0.017244, 0.012797, 0.018752
100, 35975500, 6, 0.000008, 0.001413, 0.000022
10000, 56671239, 6, 0.001528, 0.002606, 0.001447
1000, 52739488, 10, 0.000121, 0.010685, 0.000122
10000, 58462683, 10, 0.001482, 0.041639, 0.001498
10000, 44870870, 2, 0.001368, 0.001396, 0.001423
10000, 32890574, 2, 0.001455, 0.000929, 0.001484
1000000, 44053124, 2, 0.216271, 0.163165, 0.227785
10000, 30443004, 6, 0.001475, 0.002438, 0.001442
10000, 43347446, 10, 0.001577, 0.039794, 0.001529
10000, 99526147, 8, 0.001516, 0.009297, 0.001389
100000, 47364556, 6, 0.021726, 0.006233, 0.018089
100000, 47364556, 4, 0.017854, 0.005702, 0.018545
100, 7144938, 8, 0.000008, 0.003162, 0.000027
1000, 54037029, 10, 0.000104, 0.012195, 0.000141
1000000, 66034221, 6, 0.227478, 0.058682, 0.221631
100000, 94114917, 2, 0.017636, 0.011156, 0.018825
1000000, 13720830, 6, 0.218046, 0.076270, 0.220900
1000, 54037029, 6, 0.000116, 0.002127, 0.000113
100, 98400667, 4, 0.000008, 0.000572, 0.000028
1000, 4572966, 10, 0.000106, 0.017132, 0.000119
1000, 2024320, 6, 0.000116, 0.002236, 0.000123
100, 45256470, 10, 0.000009, 0.003448, 0.000012
1000, 54037029, 4, 0.000106, 0.000620, 0.000120
100000, 97874983, 6, 0.017573, 0.005582, 0.022097
10000, 56490710, 4, 0.001442, 0.000886, 0.001446
1000, 45092803, 6, 0.000105, 0.002322, 0.000120
100000, 97874983, 2, 0.017635, 0.010877, 0.018057
100, 98400667, 6, 0.000008, 0.001076, 0.000012
100000, 9347130, 6, 0.017690, 0.007909, 0.019964
100000, 35190196, 8, 0.018222, 0.012367, 0.017930
10000, 32890574, 4, 0.001446, 0.000997, 0.001514
100000, 97113040, 2, 0.017726, 0.008399, 0.017902
1000000, 80402368, 10, 0.220043, 0.085084, 0.230384
1000000, 57631957, 2, 0.217490, 0.161239, 0.223465
1000000, 54118889, 10, 0.213228, 0.103202, 0.235783
1000000, 35813594, 4, 0.217318, 0.150010, 0.223009
10000, 56490710, 6, 0.001888, 0.002788, 0.001537
1000000, 13720830, 4, 0.209444, 0.101211, 0.219316
10000, 32890574, 10, 0.001520, 0.037427, 0.001451
1000000, 93292891, 2, 0.223339, 0.125191, 0.228234
1000000, 42859845, 4, 0.214955, 0.097517, 0.226247
100, 83822700, 10, 0.000009, 0.003379, 0.000028
1000000, 70362538, 4, 0.218908, 0.069020, 0.220842
1000, 4572966, 8, 0.000119, 0.003948, 0.000139
1000000, 47278110, 4, 0.213432, 0.089774, 0.220368
100000, 66797791, 10, 0.017900, 0.062570, 0.019385
100, 40807401, 8, 0.000008, 0.002186, 0.000012
10000, 35823625, 4, 0.001631, 0.000958, 0.001576
100, 35975500, 8, 0.000008, 0.003481, 0.000020
1000, 35598095, 2, 0.000107, 0.000302, 0.000120
100000, 67428494, 4, 0.017612, 0.007787, 0.018385
100, 19520387, 10, 0.000009, 0.003313, 0.000012
1000, 2024320, 8, 0.000118, 0.005003, 0.000122
100000, 64442335, 6, 0.018421, 0.007325, 0.018217
10000, 5990575, 10, 0.001409, 0.047441, 0.001382
10000, 32028766, 10, 0.001455, 0.059290, 0.001469
100000, 67666059, 6, 0.017429, 0.007560, 0.018234
100, 85407608, 10, 0.000008, 0.003766, 0.000012
10000, 39861004, 8, 0.001474, 0.008194, 0.001587
1000, 84764184, 10, 0.000108, 0.022023, 0.000133
10000, 67599709, 10, 0.001408, 0.040261, 0.001500
1000, 89291841, 6, 0.000118, 0.002143, 0.000126
100, 99834277, 2, 0.000011, 0.000197, 0.000013
1000000, 42859845, 8, 0.215956, 0.060857, 0.222303
1000000, 13720830, 10, 0.222442, 0.083714, 0.227555
100000, 97113040, 6, 0.017913, 0.010342, 0.018350
100000, 19067372, 6, 0.017802, 0.008864, 0.018960
1000000, 77168267, 4, 0.221031, 0.077099, 0.217484
100000, 15681689, 4, 0.017797, 0.009512, 0.018559
1000000, 13720830, 2, 0.211927, 0.082294, 0.230588
100, 85407608, 8, 0.000008, 0.002279, 0.000023
10000, 81587587, 8, 0.001444, 0.009975, 0.001549
1000000, 42859845, 10, 0.227324, 0.091968, 0.227257
1000000, 80402368, 2, 0.216613, 0.098128, 0.215182
1000000, 34438526, 4, 0.214561, 0.069644, 0.223219
100000, 91748771, 2, 0.017774, 0.009662, 0.018238
10000, 39861004, 2, 0.001508, 0.000941, 0.001503
100, 40807401, 2, 0.000008, 0.000214, 0.000010
100, 71842339, 8, 0.000008, 0.002850, 0.000021
10000, 44870870, 6, 0.001395, 0.002462, 0.001514
1000, 79340271, 10, 0.000104, 0.020260, 0.000143
10000, 35823625, 8, 0.001471, 0.012374, 0.001468
1000000, 57631957, 8, 0.227125, 0.053109, 0.219076
1000000, 69516193, 8, 0.211281, 0.054574, 0.217291
10000, 30443004, 4, 0.001459, 0.000935, 0.001523
100, 98400667, 10, 0.000009, 0.003678, 0.000025
10000, 61049880, 8, 0.001461, 0.009581, 0.001474
100, 93350743, 10, 0.000008, 0.002853, 0.000012
1000, 35598095, 6, 0.000119, 0.002014, 0.000137
100000, 30211849, 6, 0.018945, 0.006879, 0.019683
1000000, 47832965, 10, 0.226203, 0.083195, 0.232122
1000, 2024320, 2, 0.000117, 0.000219, 0.000123
1000000, 54118889, 4, 0.221574, 0.100015, 0.227406
10000, 61049880, 2, 0.001503, 0.000944, 0.001463
100000, 15681689, 8, 0.018215, 0.013818, 0.019596
1000000, 35813594, 6, 0.238474, 0.065265, 0.226408
100000, 9347130, 10, 0.017872, 0.044079, 0.018129
100000, 9347130, 8, 0.017713, 0.011809, 0.017946
10000, 93358900, 2, 0.001487, 0.001146, 0.001521
10000, 35823625, 10, 0.001546, 0.046572, 0.001397
1000000, 69516193, 2, 0.225484, 0.199503, 0.226884
100, 4936171, 6, 0.000009, 0.001613, 0.000012
100000, 20262078, 8, 0.017904, 0.013087, 0.018485
100, 35975500, 4, 0.000012, 0.000593, 0.000012
1000, 84764184, 4, 0.000107, 0.000593, 0.000122
100, 12942730, 6, 0.000008, 0.002200, 0.000011
1000, 84764184, 6, 0.000117, 0.001962, 0.000128
10000, 56490710, 2, 0.001366, 0.001081, 0.001396
1000, 10849390, 6, 0.000107, 0.002188, 0.000128
100000, 94114917, 6, 0.017893, 0.006968, 0.019711
1000, 51378306, 8, 0.000114, 0.005352, 0.000140
10000, 26075799, 8, 0.001338, 0.010054, 0.001424
10000, 43347446, 6, 0.001434, 0.002577, 0.001420
